"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.836233538954188,0.778745619578331,0.812198970270719,0.785603529963533,0.837677850123591,0.817363792363792,0.812453822108554,0.822641464966652,0.784214692246806,0.815984189507085,0.764624264624265
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.731587237167594,0.823623229778203,0.7701643017177,0.80575485799701,0.781253290197843,0.831144118888286,0.818329043329043,0.813405797101449,0.813944993047536,0.76556669556368,0.82153017123475,0.784204684204684
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.83378616857702,0.733104321273964,0.821770780324939,0.775252053771471,0.805634446105298,0.789637910736334,0.821302073913306,0.817578292578293,0.823714123330492,0.814316183922132,0.740068222079831,0.800221565731167,0.763902763902764
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.786271687249034,0.834952474140341,0.73336038961039,0.816436842954486,0.76817874992819,0.810214250124564,0.77262459680121,0.826159040212214,0.815567353067353,0.79830207445297,0.812595743677971,0.768591459047906,0.8196769516932,0.761538461538461
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.828427873481171,0.780930373513145,0.815269429689684,0.73614332096475,0.808772604848018,0.760092922387545,0.800656037203122,0.768566287316826,0.817590582986676,0.807046332046332,0.79616368286445,0.813868398105159,0.749934039425578,0.810109962251764,0.751537351537352
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.765013774104683,0.824184670537102,0.773724440403734,0.818925601062343,0.726837894248609,0.815496655041021,0.737472712127305,0.786962298621491,0.756932147745437,0.802835051546392,0.787730587730588,0.795829781187837,0.787231033913884,0.751027100373148,0.810848514688987,0.721811521811522
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.846249155215139,0.768527701254974,0.828003553186764,0.77570270475036,0.819065383002516,0.734679383116883,0.807081507775944,0.768616792095134,0.809840558046836,0.776979622309216,0.819994574064026,0.807700557700558,0.786246092639954,0.801206664938371,0.730230673551694,0.805986377810602,0.771928071928072
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.758097639873162,0.840180783960351,0.770058157330885,0.828213730528854,0.789672618295999,0.823595191501258,0.724571931045145,0.808937060159615,0.726087206296318,0.794631290483308,0.777156694774927,0.80693087960451,0.799050836550837,0.802486501847116,0.796363507812684,0.762513663261845,0.808352480989113,0.741014541014541
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.758712601809029,0.765993104769201,0.835907580536157,0.766963575145393,0.826012816852257,0.786814657676087,0.827120317305004,0.738037260358689,0.796050590177363,0.732402912621359,0.800564690250789,0.779559137417805,0.798151413757762,0.805652080652081,0.799886331344132,0.786252975418915,0.744798537559836,0.799024837244926,0.753357753357753
"21",NA,NA,NA,NA,NA,NA,NA,NA,0.815624764701453,0.758415871976425,0.754708548809296,0.83442920702861,0.763520048974594,0.829986358300815,0.779373016474312,0.825578347777467,0.758701491960421,0.800360560513349,0.751148963060838,0.796080385318053,0.791762780324856,0.825495870259842,0.795967395967396,0.801562944018187,0.800929744762084,0.754739738419208,0.807648120794354,0.764879564879565
