"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.152228899082569,0.164217627118644,0.122224181360202,0.137119741697417,0.1582663507109,0.136237391304348,0.127799045346062,0.144983023255814,0.167636421052632,0.140085931558935,0.131719291338583,0.13938972972973,0.122348017621145,0.12363024691358,0.132437735849057,0.128970505617978,0.148653846153846,0.146108899297424,0.11476993006993,0.121702919708029,0.126227296587927,0.145283663366337,0.11105604770017,0.132453801169591
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.152265263157895,0.152842889908257,0.158358305084746,0.119654156171285,0.140365129151292,0.160547630331754,0.131336304347826,0.126982577565632,0.143771627906977,0.164206736842105,0.138574144486692,0.133027559055118,0.132948378378378,0.124559251101322,0.131810802469136,0.127847169811321,0.131347471910112,0.148352447552448,0.152600468384075,0.118769463869464,0.121114233576642,0.133103412073491,0.147205445544554,0.108958773424191,0.117887719298246
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.142368450704225,0.150549736842105,0.160139908256881,0.159943050847458,0.122756423173804,0.141364391143911,0.164248815165877,0.134239565217391,0.131887828162291,0.146099069767442,0.166864631578947,0.145180988593156,0.132092125984252,0.139135405405405,0.126000440528634,0.126196296296296,0.130024528301887,0.126933988764045,0.151643356643357,0.143010070257611,0.118659673659674,0.128413503649635,0.130130446194226,0.139031188118812,0.111511584327087,0.110914619883041
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.146953372434018,0.158403661971831,0.173722105263158,0.175836697247706,0.171836610169492,0.135385138539043,0.152933025830258,0.173935308056872,0.145663043478261,0.15427661097852,0.169876279069767,0.184245473684211,0.154973003802281,0.161883464566929,0.147204864864865,0.156009471365639,0.184035802469136,0.177328571428571,0.176157584269663,0.194378321678322,0.175057611241218,0.162988111888112,0.185210218978102,0.190162204724409,0.186460891089109,0.162353492333901,0.16419298245614
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.154657427937916,0.138406158357771,0.144700845070423,0.152393947368421,0.163238532110092,0.163681694915254,0.130570528967254,0.144088191881919,0.164312085308057,0.144349782608696,0.142036992840095,0.160512093023256,0.174200631578947,0.147863117870722,0.146336417322835,0.147147297297297,0.134776211453744,0.141367592592593,0.137970619946092,0.14550393258427,0.168993356643357,0.150770023419204,0.128162703962704,0.128979562043796,0.143337532808399,0.155173762376238,0.136858773424191,0.123936842105263
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.150183611111111,0.156645676274945,0.1421357771261,0.146014647887324,0.151357631578947,0.162752064220183,0.166896610169492,0.127170780856423,0.143064206642066,0.164577488151659,0.145189782608696,0.139733412887828,0.155187906976744,0.170101894736842,0.147658174904943,0.132233661417323,0.141252702702703,0.129282599118943,0.143356790123457,0.142588679245283,0.143814606741573,0.162702097902098,0.149618266978923,0.126718881118881,0.143849635036496,0.134446194225722,0.167163366336634,0.125728109028961,0.127398830409357
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.133290464547677,0.149920555555556,0.157017960088692,0.139255131964809,0.147658873239437,0.152391052631579,0.162119266055046,0.166834576271186,0.132982619647355,0.144440959409594,0.167364928909953,0.154531956521739,0.142375894988067,0.162657209302326,0.171643157894737,0.1603,0.139512204724409,0.151148378378378,0.135244273127753,0.140154320987654,0.153145013477089,0.138340449438202,0.167277272727273,0.158252693208431,0.12518344988345,0.125346350364964,0.135837795275591,0.155494059405941,0.127632879045997,0.141854970760234
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.167014366197183,0.136490709046455,0.153577222222222,0.157728603104213,0.139997653958944,0.150449014084507,0.158796315789474,0.166408486238532,0.164761694915254,0.130914861460957,0.142594649446494,0.170984834123223,0.155033695652174,0.143727923627685,0.165018139534884,0.172505052631579,0.161255133079848,0.148275196850394,0.159741351351351,0.1455859030837,0.154720987654321,0.16062884097035,0.169358707865169,0.173732167832168,0.15561850117096,0.132165501165501,0.131247445255474,0.151826771653543,0.17505,0.138811754684838,0.140059064327485
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19967743902439,0.164005070422535,0.140936674816626,0.150844444444444,0.155518403547672,0.139286803519062,0.141560563380282,0.159589736842105,0.160741513761468,0.166454915254237,0.131601511335013,0.14495295202952,0.171323222748815,0.158455,0.144743914081146,0.162399302325581,0.177339368421053,0.153261596958175,0.150549212598425,0.155513783783784,0.14393986784141,0.148674074074074,0.155445013477089,0.149810674157303,0.174546153846154,0.152278922716628,0.127297902097902,0.134502554744526,0.136446719160105,0.168712128712871,0.12514804088586,0.130258479532164
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.148432996632997,0.200617682926829,0.165568169014084,0.144057212713936,0.151138055555556,0.155665188470067,0.147708211143695,0.147822535211268,0.151782368421053,0.162494266055046,0.166793220338983,0.133718891687657,0.149826199261993,0.167473933649289,0.159785217391304,0.145901670644391,0.158697209302326,0.175124421052632,0.167036882129278,0.14603937007874,0.157997027027027,0.144133039647577,0.148003395061728,0.158116711590296,0.138764887640449,0.159079370629371,0.15816112412178,0.127117715617716,0.128333941605839,0.143971653543307,0.156351732673267,0.120225212947189,0.122139766081871
