"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.149833996088657,0.131151526717557,0.0989669083376489,0.135001488203267,0.132530213333333,0.093934962406015,0.0969542769230769,0.130523309178744,0.119152231718898,0.0909194280078895,0.0685685411572942,0.0382592678675189
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.136116266666667,0.151198239895698,0.129950109051254,0.0978876747799068,0.135113575317604,0.131845013333333,0.0920303571428571,0.0990446153846154,0.132201509661836,0.11891044634378,0.0869525641025641,0.0657334963325183,0.0370928529924463
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.131777408142999,0.140086742857143,0.152058441981747,0.131372846237732,0.100898653547385,0.13831056261343,0.1334964,0.0914337406015038,0.0993114461538462,0.133985688405797,0.118823219373219,0.0882356015779093,0.0656724531377343,0.046319930273097
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13769777625727,0.133337140019861,0.140955123809524,0.152745338983051,0.132575027262814,0.105360486794407,0.138065154264973,0.13518448,0.0935054511278195,0.0989995076923077,0.133353743961353,0.122232716049383,0.0891871794871795,0.0688515892420538,0.041395177222545
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.144661901815182,0.139857475196716,0.13596504468719,0.143065866666667,0.156521414602347,0.133951690294438,0.102604505437597,0.143382468239564,0.13683656,0.0903144736842105,0.09606,0.136772041062802,0.119122364672365,0.0823055226824458,0.063019967400163,0.0263653689715282
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.108622085276482,0.147111654290429,0.137971570304482,0.137531082423039,0.143554933333333,0.158077281616688,0.136209651035987,0.103597410668048,0.145475136116152,0.141305786666667,0.0950480263157895,0.100047507692308,0.139357548309179,0.122855745489079,0.0847999013806706,0.0624929095354523,0.0289552585705985
NA,NA,NA,NA,NA,NA,NA,NA,NA,0.100335978835979,0.110098634243837,0.148538283828383,0.139118850496066,0.141982323733863,0.148718857142857,0.161317307692308,0.137341494002181,0.106424339720352,0.149379528130672,0.14211568,0.0949801691729323,0.102053969230769,0.139474698067633,0.12407037037037,0.0839771203155819,0.0633622656886716,0.0381252760023242
NA,NA,NA,NA,NA,NA,NA,NA,0.0844058134998049,0.103226392779334,0.113367021985343,0.150024814356436,0.140012316113582,0.142128301886792,0.149175771428571,0.161549934810952,0.139067829880044,0.108710771620922,0.146401814882033,0.142934986666667,0.0953533834586466,0.0985894769230769,0.138574879227053,0.124181481481481,0.0852311637080868,0.0699165444172779,0.0409013364323068
NA,NA,NA,NA,NA,NA,NA,0.111437967479675,0.0834918454935622,0.100268440709617,0.111624583610926,0.147838613861386,0.137917379404721,0.139536891757696,0.146955466666667,0.158950065189048,0.133594929116685,0.101104557224236,0.146305263157895,0.13792216,0.0923919172932331,0.0966787692307692,0.132950362318841,0.117550237416904,0.0805752465483235,0.0618484107579462,0.0285730389308542
NA,NA,NA,NA,NA,NA,0.13383997378768,0.113457113821138,0.0843127584861491,0.101648957360722,0.110884377081945,0.152354372937294,0.141023811152925,0.142238033763654,0.148185866666667,0.160063363754889,0.138420283533261,0.103653340238219,0.149643520871143,0.1445668,0.095996522556391,0.100118523076923,0.14116654589372,0.125616144349478,0.0845997041420118,0.0645567237163814,0.0286768739105171
