"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27"
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.76046786389414,0.688785550809779,0.697015717563264,0.677621452621453,0.690923706173015,0.715854336545589,0.692345937290149,0.710418038183015,0.647829509671615,0.677218934911243
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.674824594179433,0.717452741020794,0.711312604168185,0.739699688388179,0.708032708032708,0.712757405962598,0.744359247590808,0.69422490831138,0.639956385780118,0.623050682261209,0.605029585798817
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75009353085834,0.690753829866733,0.756918714555766,0.72895620441503,0.715560045200835,0.773340548340548,0.749686739012223,0.776454781319496,0.750419701430859,0.699288183015142,0.667378917378917,0.518047337278106
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.712581334462711,0.745485425154782,0.679380993897123,0.691086956521739,0.705170629309465,0.71041845015923,0.713131313131313,0.676147244485425,0.763134729429207,0.707164626272018,0.686471362738644,0.668372319688109,0.675739644970414
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.706471725026457,0.687172737073114,0.749421705546608,0.686864283638477,0.730307183364839,0.721378348566792,0.697520802657261,0.738215488215488,0.708348109795021,0.745888157894737,0.742761764553954,0.700213956550362,0.655383115909432,0.758284023668639
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.746654985392726,0.703777090139419,0.707828802987718,0.734241190990013,0.691558205671109,0.729536862003781,0.726249653785041,0.691899804814574,0.752837902837903,0.727770291037189,0.784504725722758,0.724152848804174,0.700419684002633,0.693526015894437,0.623076923076923
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.724907644583865,0.669002921454796,0.697605599779138,0.656448523466677,0.726748456740837,0.652725017644373,0.750581285444234,0.724864793947434,0.72593397938568,0.702068302068302,0.694209991252335,0.746502038547072,0.724669404411385,0.705069124423963,0.663967611336032,0.523372781065089
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.682219582730841,0.69968964328717,0.719167061534633,0.701884806515437,0.680575742116814,0.719279675516359,0.680387761032922,0.725486767485822,0.690483826294844,0.707600246550012,0.74448051948052,0.695746743267844,0.773234803558191,0.70076579368769,0.699308755760369,0.665354625880942,0.711242603550296
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.723866878841089,0.673506131340256,0.730527925271448,0.70843062993656,0.680367988772834,0.691048155777153,0.727465906861515,0.631870926225765,0.697287334593573,0.697894041215372,0.681519022018286,0.730735930735931,0.687377355367993,0.775284933283914,0.716578852213441,0.686224489795918,0.671052631578947,0.610650887573964
"20",NA,NA,NA,NA,NA,NA,NA,NA,0.763009185474611,0.751946265913082,0.711942029257666,0.730177938860942,0.696681745509584,0.691983389315787,0.700112857582875,0.724207154882539,0.64476948146303,0.715349716446125,0.706854327322556,0.716289422319625,0.746164021164021,0.727226517247086,0.713016586360267,0.725967250374503,0.653719552337064,0.677219223271855,0.686094674556213
"21",NA,NA,NA,NA,NA,NA,NA,0.731590759730678,0.764425136668209,0.715960066395961,0.682975437080994,0.717438737194369,0.715209291385288,0.687310196475406,0.710700775805644,0.737108710232276,0.669653236185494,0.720382797731569,0.729128704500066,0.720927644420094,0.765824915824916,0.718821665839185,0.745239529280949,0.708288134717702,0.63071922317314,0.636677162992953,0.463609467455621
"22",NA,NA,NA,NA,NA,NA,0.708647650652254,0.690447257802522,0.764356588350213,0.739124917690957,0.701409363204447,0.717876030410099,0.713317334078753,0.696095799015322,0.715061073037385,0.734609611322253,0.691721675592643,0.71945652173913,0.706419432741974,0.693916720884841,0.767652717652718,0.707674303142067,0.759717846553002,0.697840797561858,0.709204246214615,0.684266756635178,0.582248520710059
"23",NA,NA,NA,NA,NA,0.706517953476591,0.668615654102776,0.644459186330552,0.728055969701643,0.707063830662862,0.684259450526751,0.698143933239902,0.707431812835993,0.645599434040399,0.709035585030609,0.6824148298879,0.633220201768589,0.66359168241966,0.703912107562307,0.680770811218026,0.740572390572391,0.712698300115847,0.720719051148999,0.690583191280541,0.689413265306122,0.692157744789324,0.614497041420118
"24",NA,NA,NA,NA,0.763137930610841,0.660149200295186,0.692669181205218,0.713949681947252,0.740910921460765,0.736837412203687,0.673125856791422,0.712550315291445,0.678244536334103,0.662816914369852,0.647216580679937,0.676109481291547,0.620051791422759,0.671011342155009,0.695486328760866,0.683941718316611,0.722570947570948,0.720630304749746,0.725305782060786,0.706557673433545,0.674230579328506,0.654989503673714,0.556508875739645
"25",NA,NA,NA,0.738660159285159,0.699512261044769,0.670033780739377,0.696316655810433,0.686587225811252,0.724609274587425,0.692328797190518,0.653537022778915,0.659487516645232,0.658097747718572,0.620815695025997,0.636349526431294,0.676484745345129,0.603045730061859,0.632046313799622,0.697779851018236,0.644651234462213,0.696608946608947,0.627491311440528,0.727842383246849,0.726018905935224,0.606093647136274,0.706777627830259,0.570710059171598
"26",NA,NA,0.732006269592476,0.665506507381507,0.6453127303553,0.64974098185777,0.674042304103657,0.642852182970228,0.706480386612513,0.680670064201054,0.63361251431898,0.629787259887306,0.666398497342737,0.65031863985644,0.626763850922111,0.693314596745126,0.623136961846639,0.592348771266541,0.651953138286758,0.623925624079718,0.671608946608947,0.6311676951084,0.679855448480356,0.668765173820962,0.566326530612245,0.520336632178737,0.692603550295858
"27",NA,0.69546756309728,0.607899686520376,0.584253108003108,0.51687890068308,0.571376729527581,0.605738253261271,0.589156447233003,0.656279454355389,0.583211012949956,0.555536515746183,0.562264935916805,0.553245814683634,0.584655247779874,0.52970151695992,0.622320112784528,0.521500186822767,0.596521739130435,0.56084879760152,0.530565352874705,0.603210678210678,0.534919734260113,0.590356282431431,0.484483960948396,0.558220868992758,0.515088469035837,0.600295857988166
