"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56"
"24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.172666440677966,0.154468513853904,0.156614391143911,0.194062322274882,0.173185869565217,0.156021479713604,0.181721627906977,0.190570736842105,0.181731558935361,0.166424409448819,0.178385405405405,0.141620264317181,0.177397222222222,0.177032884097035,0.176893539325843,0.177332517482517,0.183330679156909,0.159083682983683,0.147149635036496,0.185282414698163,0.196707920792079,0.157130494037479,0.168384795321637
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.178203669724771,0.177824745762712,0.155588916876574,0.161132656826568,0.193004028436019,0.166992608695652,0.1595,0.185537674418605,0.187560631578947,0.185519771863118,0.175891929133858,0.191628378378378,0.155481497797357,0.185038888888889,0.186807277628032,0.176932303370787,0.190477622377622,0.185046370023419,0.158085314685315,0.152076642335766,0.190782152230971,0.20592698019802,0.159749914821124,0.16180350877193
"26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.168164473684211,0.18020504587156,0.184017627118644,0.15360604534005,0.155849077490775,0.192047630331754,0.176922391304348,0.160520525059666,0.180343953488372,0.185501473684211,0.184616730038023,0.163932677165354,0.181272972972973,0.14266718061674,0.179531172839506,0.181005121293801,0.171962359550562,0.182752097902098,0.178101170960187,0.164624009324009,0.148107299270073,0.172825984251968,0.201318069306931,0.15925604770017,0.162863742690058
"27",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.163195492957746,0.176292368421053,0.187830963302752,0.181322033898305,0.152128463476071,0.16010147601476,0.198628672985782,0.184430652173913,0.167310739856802,0.190980930232558,0.190247578947368,0.195857034220532,0.171789566929134,0.195305405405405,0.156398237885463,0.187527469135802,0.204867115902965,0.190680617977528,0.19259965034965,0.199842154566745,0.159046386946387,0.152742335766423,0.204643307086614,0.206617821782178,0.18637069846678,0.189027485380117
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.163595307917889,0.176938591549296,0.175145526315789,0.194767660550459,0.193788474576271,0.170104785894207,0.170023247232472,0.203761137440758,0.181230652173913,0.184713603818616,0.213745581395349,0.204055368421053,0.214200380228137,0.193614763779528,0.192941621621622,0.182369603524229,0.224990432098765,0.214151752021563,0.224454213483146,0.229196153846154,0.216768384074941,0.192704195804196,0.220243430656934,0.235606036745407,0.238625,0.204940374787053,0.20282514619883
"29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.170206430155211,0.160459237536657,0.161205633802817,0.170017368421053,0.183566055045872,0.181606101694915,0.158294962216625,0.163752029520295,0.195095971563981,0.188367608695652,0.179665155131265,0.194536976744186,0.198963789473684,0.19724144486692,0.179348228346457,0.197913783783784,0.162861453744493,0.185904320987654,0.190878436657682,0.189483146067416,0.198016083916084,0.187665807962529,0.166337296037296,0.162491240875912,0.195165091863517,0.210756930693069,0.175758773424191,0.172643274853801
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.169437777777778,0.178540133037694,0.157567741935484,0.168286478873239,0.174037105263158,0.19133876146789,0.178785423728814,0.167939798488665,0.165918450184502,0.202376066350711,0.198743260869565,0.177510978520286,0.198511395348837,0.202264842105263,0.201704562737643,0.182590551181102,0.189952432432432,0.167233920704846,0.202135802469136,0.193309164420485,0.225980617977528,0.213114335664336,0.182978454332553,0.177057342657343,0.166563503649635,0.206946981627297,0.211486386138614,0.192060817717206,0.192160233918129
"31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.156765770171149,0.169593888888889,0.172372949002217,0.157107624633431,0.166719718309859,0.173861052631579,0.188751834862385,0.1847,0.166162216624685,0.161456826568266,0.197190758293839,0.19131152173913,0.181770883054893,0.19443511627907,0.202504421052632,0.19346463878327,0.186255905511811,0.186127027027027,0.170475330396476,0.202113271604938,0.193073315363881,0.19419297752809,0.198991608391608,0.185527166276347,0.170815384615385,0.160894890510949,0.19158687664042,0.201384900990099,0.172511925042589,0.183304678362573
"32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.174994647887324,0.160630806845966,0.164431388888889,0.179091130820399,0.160964809384164,0.168981690140845,0.174525526315789,0.183570183486239,0.185685762711864,0.17032241813602,0.162867158671587,0.20266990521327,0.188604130434783,0.179632935560859,0.18976511627907,0.195272842105263,0.198151330798479,0.173181102362205,0.201514324324324,0.163391629955947,0.184802777777778,0.191330188679245,0.200230337078652,0.19808006993007,0.181433021077283,0.172757342657343,0.153054379562044,0.205162204724409,0.198474752475248,0.178763202725724,0.175287719298246
"33",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.194796138211382,0.18269323943662,0.166962102689487,0.169890277777778,0.172242350332594,0.168234604105572,0.161871549295775,0.178675789473684,0.182643348623853,0.192668474576271,0.17508564231738,0.168810516605166,0.205248578199052,0.201341304347826,0.168763484486874,0.196313720930233,0.198193684210526,0.204450190114068,0.190424803149606,0.218439189189189,0.172618502202643,0.201940432098765,0.192740431266846,0.200308707865169,0.219781818181818,0.189234894613583,0.17674358974359,0.167855474452555,0.193653018372703,0.213580693069307,0.171604429301533,0.174165497076023
"34",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.164595286195286,0.19354756097561,0.180762535211268,0.170153789731051,0.163579166666667,0.177792461197339,0.160668914956012,0.163473521126761,0.174121315789474,0.182415137614679,0.18417186440678,0.174792191435768,0.175910885608856,0.201970142180095,0.192410869565217,0.170668019093079,0.197475813953488,0.194608210526316,0.208321292775665,0.171996062992126,0.194062702702703,0.16846013215859,0.184827469135802,0.197729919137466,0.191475561797753,0.20678041958042,0.186292740046838,0.174108158508159,0.154971532846715,0.187436220472441,0.209416584158416,0.160628279386712,0.165337426900585
