"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.772718793305618,0.696649137825608,0.795616883116883,0.840480215858053,0.764160839160839,0.803714514652015,0.80907009510391,0.820722702278083,0.776159962779681,0.777036048064085,0.84079822616408,0.791346742663338,0.843857486814951,0.767007299270073,0.825921286146779,0.820879257737094,0.803439153439153,0.806554627845572,0.807777777777778,0.630681818181818,0.802280550774527,0.821542618521248,0.803574041556921,0.664012738853503
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.828524880579545,0.778115339516043,0.718753821694998,0.800791396103896,0.834135970080434,0.76143648018648,0.803399725274725,0.81486438886932,0.821571091908877,0.783424269339762,0.76473393095556,0.831263858093126,0.807880729191201,0.838225177711534,0.762846715328467,0.824955632111911,0.808736534030762,0.805555555555556,0.791996717333904,0.798987654320988,0.660963326446281,0.78362429309073,0.81677720461803,0.775186567164179,0.652411282984531
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.836087939502612,0.832384296605612,0.749147212450698,0.727711874770698,0.803246753246753,0.82581074850146,0.746620046620047,0.797504578754579,0.793888693201832,0.813228593872742,0.779786829082604,0.757009345794392,0.835793474817865,0.797611757501531,0.84124914010548,0.783430656934307,0.82380728677315,0.804595553895012,0.799107142857143,0.808356526082923,0.779382716049383,0.615573347107438,0.779597983771822,0.820609186931958,0.790697249048873,0.707461328480437
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.763380558835104,0.801902237467841,0.777925405713201,0.716901183242725,0.703191879662468,0.785511363636364,0.807461106272521,0.748382867132867,0.785399496336996,0.746107784431138,0.776936370777691,0.748117836146005,0.779944688155636,0.793432583676486,0.79181779641057,0.7807412290759,0.683102189781022,0.776098757699134,0.747742698798182,0.754166666666667,0.745539855848141,0.709358024691358,0.552621384297521,0.662681337595279,0.734438712846966,0.730117793386011,0.58803457688808
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.783947420341324,0.776711924439197,0.823711701878849,0.825472145772041,0.750546317023772,0.711293873058579,0.786465097402597,0.826194989497413,0.756453962703963,0.792081616300366,0.789626629094752,0.798947368421053,0.768863934356892,0.774175090596986,0.82180339985218,0.803052428282067,0.832019605595047,0.74514598540146,0.809766155131016,0.811009402827075,0.786640211640212,0.794012702490544,0.785802469135802,0.643143078512397,0.775141381853946,0.821321542618521,0.74811603745976,0.672429481346679
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.833765490301724,0.775845911019039,0.774227666273121,0.826479301473454,0.830201512131853,0.750039974416373,0.704047939342057,0.792451298701299,0.824786105845586,0.754982517482517,0.784283424908425,0.784290243043325,0.807682639434407,0.765892653216597,0.763971008964333,0.846985534790413,0.786730415940459,0.832664526484751,0.730620437956204,0.806895291784111,0.813655893891276,0.779728835978836,0.794262470563049,0.783111111111111,0.636105371900826,0.786605606097861,0.815647261115205,0.747512437810945,0.628980891719745
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84480122324159,0.838227370689655,0.773922264969912,0.781213105076741,0.818449364621502,0.827686564803391,0.757688412749174,0.704842851901675,0.786992694805195,0.822711204467442,0.751879370629371,0.770876259157509,0.785294117647059,0.793904163393559,0.770460601446517,0.758344459279039,0.824907612712491,0.788355551368411,0.816312199036918,0.73007299270073,0.789069840275603,0.810324428669282,0.791369047619048,0.781970313280525,0.782543209876543,0.661738119834711,0.78771207278092,0.81638418079096,0.735074626865672,0.605777979981802
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.788200371057514,0.836162079510703,0.827182112068966,0.777103679589622,0.780548996458087,0.809717782801902,0.81764259276834,0.738260846391643,0.716735966735967,0.781189123376623,0.828534590228325,0.730477855477855,0.752847413003663,0.775977456851004,0.781696779261587,0.769551241382227,0.737364104520313,0.811593284764016,0.775825521692025,0.795216120155928,0.72007299270073,0.771557573859484,0.786132386823588,0.77037037037037,0.776546777991865,0.760913580246914,0.679752066115702,0.759927464961888,0.808351756325227,0.718539654667837,0.625113739763421
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.742395020601385,0.797977736549165,0.823394495412844,0.831862877155172,0.778916346058992,0.767684966548603,0.835600686052857,0.808626743854987,0.757941584052873,0.69441726794668,0.774736201298701,0.817861229229639,0.725320512820513,0.744748740842491,0.765498414934836,0.775946582875098,0.746996996996997,0.759059698645813,0.795618202935276,0.764661547882613,0.793467667966063,0.708868613138686,0.758899676375405,0.789183635344667,0.753835978835979,0.774477271105402,0.771037037037037,0.610278925619835,0.768010818785345,0.792458855318104,0.72876426690079,0.637625113739763
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.840156140526474,0.737783816954502,0.792077922077922,0.815581039755352,0.822871767241379,0.781727828746177,0.74599075167257,0.819482341934981,0.826642624402898,0.750879437160217,0.694692429986548,0.766680194805195,0.803294226138634,0.732342657342657,0.747524610805861,0.758735470235999,0.776606441476826,0.755646491561984,0.711090978447454,0.802491817125964,0.762847990955768,0.789598142627838,0.709598540145985,0.75631589936319,0.805716420698674,0.777645502645503,0.762363519588953,0.778765432098765,0.629648760330578,0.781472830095894,0.806484893146647,0.746378402107111,0.656050955414013
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.843901660280971,0.844960464417976,0.729473130533883,0.792263450834879,0.826926605504587,0.826575969827586,0.783010259445595,0.752951593860685,0.821139003664146,0.830834203283667,0.728720285683829,0.707686192980311,0.782386363636364,0.798247861058456,0.733697552447552,0.745092147435897,0.773687918281085,0.775695208169678,0.764507465211691,0.701411405683769,0.804994192799071,0.777191577558999,0.792249484063288,0.709963503649635,0.771661968890281,0.791114017062084,0.781216931216931,0.749411260971955,0.767901234567901,0.621448863636364,0.777046963363659,0.806435765168263,0.749451273046532,0.627388535031847
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.718210227272727,0.8492656449553,0.833625262736463,0.736232138160778,0.807105751391466,0.83,0.832233297413793,0.772824800236756,0.769382133018497,0.816870663444297,0.814526588845655,0.743550794158405,0.705301455301455,0.777435064935065,0.799409122735113,0.730623543123543,0.754120879120879,0.76650228953857,0.783330714846818,0.765829209491181,0.72310699980927,0.820261851969169,0.760869565217391,0.807641595964228,0.707591240875912,0.787216828478964,0.793729372937294,0.796891534391534,0.78277313922786,0.758444444444444,0.629713326446281,0.779167691172855,0.815131417342176,0.736354989757097,0.635350318471338
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.813538013630649,0.691875,0.843071519795658,0.834651186067461,0.742377487507671,0.794359925788497,0.817782874617737,0.827586206896552,0.784711946335208,0.770243014561196,0.828818118032276,0.816788459713391,0.720085811747148,0.699951082304023,0.792593344155844,0.811576754273614,0.728846153846154,0.756453182234432,0.770887636491722,0.787415553809898,0.758924417375122,0.730259393477017,0.818509133143279,0.757360214800509,0.817315409309791,0.722846715328467,0.782414657062324,0.803038794445482,0.776653439153439,0.784985370727182,0.757382716049383,0.673230888429752,0.759988935333169,0.80732006877917,0.702992390986245,0.614649681528662
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.745799612948628,0.801826242307947,0.688181818181818,0.838665389527459,0.828345510959864,0.740685543964232,0.779165120593692,0.818272171253823,0.827973464439655,0.773046759396271,0.75017217630854,0.817981601309737,0.818702350447629,0.745602814198913,0.683502507031919,0.743770292207792,0.801116860494902,0.718385780885781,0.725560897435897,0.760461430081014,0.769630793401414,0.746690352324155,0.732166698455083,0.785027980149931,0.703824956427528,0.793782962623252,0.705547445255474,0.723092180812193,0.75963634099259,0.773478835978836,0.769464069078713,0.738271604938272,0.65521694214876,0.757007622326039,0.792164087447802,0.716600819432251,0.605550500454959
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.746996124031008,0.764976249120338,0.795474095149871,0.711960227272727,0.840549169859515,0.843334000600541,0.747628649075129,0.791372912801484,0.817660550458716,0.827485183189655,0.774057906678504,0.756887052341598,0.813264987916114,0.817784948277498,0.751439078989447,0.709214870979577,0.77463474025974,0.812652629062281,0.739772727272727,0.760831616300366,0.759580838323353,0.797674783974863,0.770703802393943,0.766831966431432,0.831728434167459,0.739271750906778,0.829511579912864,0.732846715328467,0.746815951560706,0.814029516159163,0.771759259259259,0.791425818882466,0.767061728395062,0.676846590909091,0.754702483403,0.793785310734463,0.744970002926544,0.662647861692448
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.794570458031996,0.745290697674419,0.72987772695285,0.78619400516112,0.682670454545454,0.822158365261814,0.836052447202482,0.730840711843605,0.75,0.781620795107034,0.803559401939655,0.752799151622768,0.751131444313263,0.806989163483277,0.792493119483724,0.721711438013005,0.660878072642779,0.697382305194805,0.763358778625954,0.694828088578089,0.710250686813187,0.690595280028179,0.694611154752553,0.72876749989426,0.70145908830822,0.743216133460036,0.671628432804183,0.751705457463884,0.691715328467153,0.673400146153043,0.737125599352388,0.721626984126984,0.768411475058874,0.68958024691358,0.597946797520661,0.701469141873617,0.703267010562515,0.747695346795435,0.577797998180164
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.849362349362349,0.780530900723208,0.749457364341085,0.759676284306826,0.77312578574737,0.655795454545455,0.838314176245211,0.821639475527975,0.734154466555624,0.782820037105751,0.810275229357798,0.823494746767241,0.771098451218309,0.759420503738686,0.827687690028845,0.804197905792287,0.751612301460399,0.707655619420325,0.778835227272727,0.796881670850624,0.735081585081585,0.731684981684982,0.756111306798168,0.779057344854674,0.774795922683247,0.757152393667747,0.798532361946996,0.766192472561119,0.788953221738133,0.753978102189781,0.794315690573129,0.7966872158914,0.797255291005291,0.76614572182973,0.712172839506173,0.650891012396694,0.757806737152692,0.789388356669123,0.739098624524437,0.66901728844404
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.805210140736457,0.827337077337077,0.792269340346263,0.766201550387597,0.764096586910626,0.795507179249653,0.6778125,0.834418901660281,0.834175758182364,0.7350398877882,0.799517625231911,0.816957186544342,0.824437634698276,0.772602841077242,0.767980125934671,0.815818195992828,0.809211983170415,0.749240486088903,0.717806041335453,0.800892857142857,0.794892156360469,0.723455710955711,0.724688072344322,0.769954209228602,0.793495679497251,0.765691748086114,0.729401106236887,0.820082356667723,0.777521315182062,0.818576587938546,0.758649635036496,0.807991439607475,0.822155800485709,0.808498677248677,0.79119389138657,0.775604938271605,0.726949896694215,0.773297270715515,0.797543601080816,0.724191542288557,0.748635122838945
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.787670858392564,0.782533256217467,0.822072072072072,0.798515231207539,0.751899224806202,0.772827234342013,0.781661483491034,0.689914772727273,0.843167305236271,0.808777900110099,0.73975628999737,0.790593692022263,0.820917431192661,0.823006465517241,0.768656900463648,0.719598583234947,0.823088017463164,0.797301572237512,0.742631382581814,0.710346092699034,0.760998376623377,0.801962190685998,0.765574009324009,0.770389766483517,0.790965128566397,0.795852317360566,0.796461954912659,0.748283425519741,0.827526132404181,0.795539121013708,0.814864709928915,0.730948905109489,0.798595886835787,0.828600784606763,0.800760582010582,0.785021051880397,0.773975308641975,0.709387913223141,0.782671502335874,0.812011790714812,0.753658179689786,0.693357597816197
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.748852157943067,0.775888463641334,0.765688259109312,0.824909324909325,0.777517532325225,0.74312015503876,0.741665200562984,0.772215973003375,0.683522727272727,0.827490421455939,0.791337203483135,0.700210397124573,0.773098330241187,0.786850152905199,0.821608970905172,0.740899674459899,0.674021054702873,0.775785452561004,0.774034355129544,0.721551540347511,0.66714565243977,0.708908279220779,0.786011920009563,0.707765151515152,0.72923820970696,0.74524480450863,0.748766692851532,0.762096603645899,0.686582109479306,0.777721465526344,0.762683122144237,0.751519146984637,0.702080291970803,0.79969203465915,0.768073977209042,0.763062169312169,0.746075073146364,0.734123456790123,0.596849173553719,0.756761740840915,0.768656349791206,0.725197541703248,0.645359417652411
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.757041964359037,0.739181588613407,0.75098414434117,0.761061307113939,0.801480051480052,0.780626780626781,0.734476744186046,0.745623680506685,0.786475220009264,0.721960227272727,0.81992337164751,0.812406165548994,0.705014464802314,0.749165120593692,0.763990825688073,0.810159617456897,0.73874173818684,0.695985832349469,0.790851329227411,0.73412736072886,0.697473616885193,0.659960865843219,0.72380275974026,0.774441996686989,0.742234848484848,0.727549793956044,0.749682986967242,0.733731343283582,0.754938036628177,0.695164981880603,0.775493612078978,0.770643930472467,0.72956317358404,0.685875912408759,0.803241465706232,0.764026402640264,0.762962962962963,0.775850995504175,0.767259259259259,0.598786157024793,0.765644209491025,0.775337754851388,0.696297922153936,0.615787079162875
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.730527430348753,0.775457830335879,0.717688246097337,0.742550574084199,0.751349527665317,0.805662805662806,0.751657352618891,0.712829457364341,0.740719563687544,0.765698405346391,0.685454545454545,0.804725415070243,0.788059253327995,0.698798983080565,0.713153988868275,0.7582874617737,0.757980872844828,0.71975189898392,0.69987209759937,0.793443517580104,0.72500079086394,0.614953096684788,0.673413232236762,0.690746753246753,0.735676349539765,0.687164918414918,0.722727793040293,0.703416696019725,0.692945797329144,0.739457767626782,0.71619301926378,0.724664766128181,0.726576852418861,0.695009745471222,0.693248175182482,0.777638584403382,0.745096207733981,0.750231481481481,0.704577891957468,0.708395061728395,0.564049586776859,0.728516105237276,0.743895848685827,0.666995902838747,0.570973612374886
